,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_inch,Weight_pounds,Price-binned,Screen-Full HD,Screen-IPS_panel
24,24,Asus,4,2,1,7,35.56,0.9310344827586208,8,256,1.25,1333,14.0,0.5668934240362812,Low,True,False
25,25,Dell,3,1,2,3,39.62,0.6896551724137931,4,256,2.2,616,15.598425196850393,0.997732426303855,Low,True,False
26,26,Asus,3,3,1,3,39.62,0.8275862068965517,6,256,2.0,733,15.598425196850393,0.9070294784580498,Low,True,False
27,27,HP,3,1,1,7,39.62,0.9310344827586208,8,256,1.91,913,15.598425196850393,0.8662131519274375,Low,True,False
28,28,HP,4,3,1,7,33.02,0.9310344827586208,8,256,1.38,1421,13.000000000000002,0.6258503401360543,Low,False,True
29,29,HP,3,3,1,5,35.56,0.8620689655172414,6,256,1.8622317596566522,837,14.0,0.8445495508646949,Low,False,True
30,30,Asus,4,3,1,7,35.56,0.9310344827586208,8,256,1.3,1515,14.0,0.5895691609977324,Low,False,True
31,31,Lenovo,3,2,1,7,35.56,0.9310344827586208,8,256,1.58,1880,14.0,0.7165532879818595,Medium,False,True
32,32,Dell,4,2,1,5,33.02,0.5517241379310345,8,256,1.21,2069,13.000000000000002,0.5487528344671202,Medium,False,True
33,33,Asus,3,3,1,7,39.62,0.6206896551724138,8,256,1.7,1420,15.598425196850393,0.7709750566893424,Low,True,False
34,34,HP,3,2,1,5,43.94,0.5517241379310345,8,256,2.5,1179,17.299212598425196,1.1337868480725624,Low,True,False
35,35,Acer,4,2,1,7,35.56,0.6206896551724138,8,256,1.6,1123,14.0,0.7256235827664399,Low,False,True
36,36,Acer,3,3,1,3,39.62,0.9310344827586208,4,256,2.2,727,15.598425196850393,0.997732426303855,Low,True,False
37,37,HP,3,2,1,7,35.56,0.6206896551724138,8,256,1.63,1255,14.0,0.7392290249433106,Low,True,False
38,38,HP,3,2,1,5,33.02,0.8620689655172414,4,256,1.8622317596566522,888,13.000000000000002,0.8445495508646949,Low,False,True
39,39,Lenovo,3,1,1,5,35.56,0.5517241379310345,8,256,1.75,1418,14.0,0.7936507936507936,Low,False,True
40,40,Asus,4,2,1,7,35.56,0.6206896551724138,8,256,1.25,1396,14.0,0.5668934240362812,Low,True,False
41,41,HP,4,2,1,5,35.56,0.9310344827586208,4,256,1.48,1374,14.0,0.6712018140589568,Low,True,False
42,42,HP,3,1,1,5,39.62,0.5517241379310345,6,256,1.91,786,15.598425196850393,0.8662131519274375,Low,True,False
43,43,Acer,3,3,1,5,43.18,0.5517241379310345,4,256,3.0,1023,17.0,1.3605442176870748,Low,False,True
44,44,Dell,3,1,1,5,39.62,0.5517241379310345,8,256,2.13,925,15.598425196850393,0.9659863945578231,Low,True,False
45,45,Lenovo,1,3,1,7,38.1,0.9655172413793103,16,256,2.5,1371,15.0,1.1337868480725624,Low,False,True
46,46,Acer,3,3,1,5,43.18,0.5517241379310345,8,256,3.0,1085,17.0,1.3605442176870748,Low,False,True
47,47,Huawei,4,2,1,5,33.02,0.8620689655172414,8,256,1.05,1714,13.000000000000002,0.4761904761904762,Medium,False,True
48,48,HP,3,3,1,5,43.94,0.5517241379310345,8,256,2.5,1172,17.299212598425196,1.1337868480725624,Low,True,False
49,49,Dell,4,2,1,5,33.78,0.5517241379310345,8,256,1.8622317596566522,1777,13.299212598425196,0.8445495508646949,Medium,True,False
50,50,Acer,4,2,1,5,33.02,0.41379310344827586,8,256,1.12,1256,13.000000000000002,0.507936507936508,Low,False,True
51,51,HP,3,3,1,7,43.94,0.6206896551724138,8,256,2.5,1327,17.299212598425196,1.1337868480725624,Low,True,False
52,52,Dell,4,2,1,7,33.78,0.6206896551724138,8,256,1.2,1841,13.299212598425196,0.5442176870748299,Medium,True,False
